alg,n,m,p_max,I,mean,std,min,max
RandomizedPmax,1,10,128,76,1.6470588235294117,0.0,1.6470588235294117,1.6470588235294117
FastGreedy,1,10,128,77,8.533333333333333,0,8.533333333333333,8.533333333333333
QThreshold,1,10,128,77,1.0,0,1.0,1.0
Random,1,10,128,77,2.8666666666666667,0.0,2.8666666666666667,2.8666666666666667
RandomizedPmax,1,10,128,77,8.533333333333333,0.0,8.533333333333333,8.533333333333333
FastGreedy,1,10,128,78,2.4375,0,2.4375,2.4375
QThreshold,1,10,128,78,7.5,0,7.5,7.5
Random,1,10,128,78,2.4375,0.0,2.4375,2.4375
RandomizedPmax,1,10,128,78,1.7801233396584444,0.716124902289516,1.0,2.4375
FastGreedy,1,10,128,79,1.0,0,1.0,1.0
QThreshold,1,10,128,79,114.0,0,114.0,114.0
Random,1,10,128,79,20.0,0.0,20.0,20.0
RandomizedPmax,1,10,128,79,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,80,1.0,0,1.0,1.0
QThreshold,1,10,128,80,5.882352941176471,0,5.882352941176471,5.882352941176471
Random,1,10,128,80,5.882352941176471,0.0,5.882352941176471,5.882352941176471
RandomizedPmax,1,10,128,80,1.0127877237851661,0.059979741174212634,1.0,1.2941176470588236
FastGreedy,1,10,128,81,5.7272727272727275,0,5.7272727272727275,5.7272727272727275
QThreshold,1,10,128,81,2.6818181818181817,0,2.6818181818181817,2.6818181818181817
Random,1,10,128,81,5.7272727272727275,0.0,5.7272727272727275,5.7272727272727275
RandomizedPmax,1,10,128,81,5.7272727272727275,0.0,5.7272727272727275,5.7272727272727275
FastGreedy,1,10,128,82,1.875,0,1.875,1.875
QThreshold,1,10,128,82,1.0,0,1.0,1.0
Random,1,10,128,82,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,82,1.875,0.0,1.875,1.875
FastGreedy,1,10,128,83,5.7894736842105265,0,5.7894736842105265,5.7894736842105265
QThreshold,1,10,128,83,2.263157894736842,0,2.263157894736842,2.263157894736842
Random,1,10,128,83,4.315789473684211,0.0,4.315789473684211,4.315789473684211
RandomizedPmax,1,10,128,83,4.6507022403654545,2.038949597540215,1.0,5.7894736842105265
FastGreedy,1,10,128,84,2.5,0,2.5,2.5
QThreshold,1,10,128,84,1.0,0,1.0,1.0
Random,1,10,128,84,1.0,0.0,1.0,1.0
